mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num,verify_typ
4933981186035771,2023-08-12 18:30,蜗牛柯基,https://weibo.com/1015206261?refer_flag=1001030103_,"🇷🇺🇺🇦 俄罗斯反对派媒体 Mediazona 发布截至 8 月 11 日俄军可确认的死亡数据：30,003。可以推算出俄方整体阵亡3.3万。Mediazona 与 BBC 和志愿者团队一起，继续统计公开的死亡报告，包括亲属在社交媒体的帖子、地区媒体的新闻以及地方当局的报告。自上次7月28日报告微博正文以来，两周名单增加了1,300人，回到之前水平。过去两周，已知有4名中校以上军衔军官死亡。目前，高级军官名单上共有284人。监测乌克兰在扎波罗热地区反攻的开源情报研究人员注意到，炮兵依然损失比以前大。大多数阵亡者来自斯威尔德洛夫斯克和车里雅宾斯克州，巴什科尔托斯坦共和国、布里亚特共和国和罗斯托夫州紧随其后。克拉斯诺达尔边疆区非常高是因为志愿者拍摄了墓地情况。名单上莫斯科地区的死亡人数大幅增加，增长与检测的增加有关，而不是与前线的情况有关。在大多数情况下，根据死亡报告以及间接标志（制服或袖章）可以确定死者的部队类型。统计中的兵种是按部队类型划分的，例如一名空降部队的炮兵将被统计到空降部队而不是炮兵部队。动员兵、志愿兵和囚犯没有单独的分支，但分开表示以便与正规军事人员进行比较。超过2,400名军官死亡的消息得到确认。还已知大约有 176 例军事飞行员死亡。超过21,700份报告提供了死亡日期。这些数据显示的每天伤亡人数很难反映真实情况，但它确实表明了战斗最激烈的日子。 超过24,000条消息提到了年龄。前六个月，在军队没有志愿兵、动员兵和囚犯时，死亡人数最多的是21-23岁的人群。现在已经主要是33-35岁的人群。志愿兵和动员兵的年龄大得多：30-35岁。柯基总结：算上延迟（延迟很明显，大反攻开始俄军阵亡少了，而增加的主要是反攻前激烈战斗的炮兵部队，这样看延迟大约一到两个月，这样也能解释为什么雇佣兵还在增加），这个数据可以推算俄方阵亡人数达到了近3.3万。另外，按照统计，雇佣兵+囚犯=8078，在已知兵种中比例为35%，未知的7267人中应该也还有这个比例甚至更多的，再加上讣告的延迟性，所以只能推算瓦格纳阵亡数1.2万。但之前瓦格纳参谋长披露瓦格纳阵亡总数达2.2万，新增的墓地可能没有统计全，包括全是龙牙形状战士纪念碑的克拉斯诺达尔边疆区墓地。@棉花絮飞 @戈洛夫杨 @陆瑞71136 @外台秘要 @军武大伊万 @水獭军一般兵 @大象驮蜗牛 #俄乌局势新进展##微博新知博主##普京指责瓦格纳负责人叛国# 收起d",微博网页版,,,https://wx1.sinaimg.cn/thumb150/3c82d175ly1hgu50gprlij20dm074jsx.jpg https://wx4.sinaimg.cn/thumb150/3c82d175ly1hgu50gsgy3j20p80lo47j.jpg https://wx1.sinaimg.cn/thumb150/3c82d175ly1hgu50gsb3nj20oq0lcqcd.jpg https://wx4.sinaimg.cn/thumb150/3c82d175ly1hgu50grtqdj20pk0njtnj.jpg https://wx3.sinaimg.cn/thumb150/3c82d175ly1hgu50gqsl0j20pt0jlgqm.jpg https://wx3.sinaimg.cn/thumb150/3c82d175ly1hgu50gr41xj20pl0j2jv0.jpg https://wx1.sinaimg.cn/thumb150/3c82d175ly1hgu50gqxg0j20pb0j2ada.jpg https://wx3.sinaimg.cn/thumb150/3c82d175ly1hgu50gqryfj20p70j3n0f.jpg https://wx1.sinaimg.cn/thumb150/3c82d175ly1hgu50gqypnj20q40jaq6m.jpg,https://weibo.com/1015206261/Neg0mpkb9,22,51,234,红V认证
4932948161996355,2023-08-09 22:05,蜗牛柯基,https://weibo.com/1015206261?refer_flag=1001030103_,🇷🇺🇺🇦 Suriyak更新克里希夫卡局势俄军发起反攻，迫使乌克兰军队从运河东岸的大部分地区撤退，从而缓解了库尔久米夫卡压力。但随着乌克兰增援部队抵达该地区，安德里伊夫卡和克里希夫卡的局势对俄罗斯军队来说仍然困难重重。#俄乌局势新进展##普京指责瓦格纳负责人叛国##瓦格纳集团称内战已经正式开始# ​​​ 收起d,微博网页版,,,https://wx4.sinaimg.cn/orj360/3c82d175ly1hgqudq27ssj20u00gp40z.jpg,https://weibo.com/1015206261/NdP8c8nlh,3,29,109,红V认证
4932747766531552,2023-08-09 08:49,蜗牛柯基,https://weibo.com/1015206261?refer_flag=1001030103_,🇷🇺🇺🇦 Suriyak更新1、库普扬斯克东北：俄军成功占领了佩尔绍特拉夫涅韦和维利沙纳以南的新阵地； 以及奥尔良卡和亚吉德涅附近阵地。2、库班以南：罗博季涅处于俄罗斯控制之下。 尽管过去两个月在该村以北发生了激烈的战斗，但乌克兰军队仍然无法到达该村的第一座建筑物。 另一方面，俄军还设法夺回其东北的新阵地。#俄乌局势新进展##普京指责瓦格纳负责人叛国##瓦格纳集团称内战已经正式开始# 收起d,微博网页版,,,https://wx4.sinaimg.cn/orj360/3c82d175ly1hgq7d52or0j20v90gq17g.jpg https://wx2.sinaimg.cn/orj360/3c82d175ly1hgq7d4vxahj20u10gp13m.jpg,https://weibo.com/1015206261/NdJUYrp9C,11,22,163,红V认证
4932345968461326,2023-08-08 06:13,蜗牛柯基,https://weibo.com/1015206261?refer_flag=1001030103_,🇷🇺🇺🇦 Suriyak更新克里希夫卡局势在过去 36 小时内，乌克兰军队在克里希夫卡以北小幅推进。#俄乌局势新进展##普京指责瓦格纳负责人叛国##瓦格纳集团称内战已经正式开始# ​​​,微博网页版,,,https://wx2.sinaimg.cn/orj360/3c82d175ly1hgoq13nf6yj20u00gnac8.jpg,https://weibo.com/1015206261/NdzsUzvb0,0,5,43,红V认证
4932214133624748,2023-08-07 21:29,蜗牛柯基,https://weibo.com/1015206261?refer_flag=1001030103_,🇷🇺🇺🇦 Suriyak更新库普扬斯克局势在过去的三四天内，俄军成功占领了佩尔绍特拉夫涅韦和维尔沙纳以南的大片领土。柯基语：大片……#俄乌局势新进展##普京指责瓦格纳负责人叛国##瓦格纳集团称内战已经正式开始# ​​​,微博网页版,,,https://wx4.sinaimg.cn/orj360/3c82d175ly1hgoi2v0zthj20u10gsdih.jpg,https://weibo.com/1015206261/Ndw2hfcXG,8,25,210,红V认证
4931909962434315,2023-08-07 01:20,蜗牛柯基,https://weibo.com/1015206261?refer_flag=1001030103_,🇷🇺🇺🇦 Suriyak更新1、库普扬斯克东北：俄军在辛基夫卡和维尔沙纳之间取得了小幅进展。2、斯瓦托西南：乌军成功夺回了卡尔马济尼夫卡以西的部分森林地区。另一方面，俄军在新埃戈里夫卡以东取得了一些进展3、大诺沃西尔卡以南：过去四天里，乌军加强了旧马约尔斯克内的阵地，并开始攻击附近的乌罗扎因4、库班以南：上周俄军发动了一系列反攻，夺回了罗博季涅以东的一些阵地。#俄乌局势新进展##普京指责瓦格纳负责人叛国##瓦格纳集团称内战已经正式开始# 收起d,微博网页版,,,https://wx4.sinaimg.cn/thumb150/3c82d175ly1hgnj51jj26j20sj0gjacq.jpg https://wx2.sinaimg.cn/thumb150/3c82d175ly1hgnj51j57cj20tz0gm0v4.jpg https://wx3.sinaimg.cn/thumb150/3c82d175ly1hgnj51kfbwj20tw0grmz7.jpg https://wx3.sinaimg.cn/thumb150/3c82d175ly1hgnj51jguwj20u10go40k.jpg,https://weibo.com/1015206261/Ndo7Gadh9,3,18,101,红V认证
4931756862472273,2023-08-06 15:12,150师一般医疗兵,https://weibo.com/6404659228?refer_flag=1001030103_,乌方信源deepstate简报:截至2023年8月5日当天结束时▶️ 别洛莫斯科夫斯基、塞弗尔斯克和别尔哥罗德段 — 不变。▶️ 斯瓦托夫部分 - 敌人继续向新舍利夫斯克施加压力，并开始大规模向利曼佩尔什区域施加压力。新埃霍里夫卡、纳季亚和塞雷布良卡森林附近的战斗仍在继续。在该段的所有部门，前进的敌军都遭受了重大失败——一些地方敌人被炮兵驱散，一些地方在短兵相接的枪战中被击退。▶️ 巴赫穆特方向 - 没有变化。巴赫穆特的北翼和南翼仍在继续激烈的战斗。▶️阿瓦迪夫卡部分 -过去几天双方相互炮击，我们的集束弹药正在发挥作用。▶️ 弗尔梅夫斯基突出部— 不变。俄军在普里尤特涅附近进攻的企图失败了。▶️ 扎波罗热部分 - 战斗仍在罗伯济涅和洛布科维附近继续。敌人设法恢复的路线被澄清了。▶️ 赫尔松 — 不变。#关注俄乌局势最新进展##俄乌局势##普京指责瓦格纳负责人叛国##克里米亚大桥紧急事件致2死1伤# 桥 收起d,微博网页版,,,,https://weibo.com/6404659228/Ndk8Kan9n,0,0,2,没有认证
4931550582145758,2023-08-06 01:32,蜗牛柯基,https://weibo.com/1015206261?refer_flag=1001030103_,🇷🇺🇺🇦 Suriyak更新的顿涅茨克……我无语了顿涅茨克以西局势：在最后几个小时内，俄军重新开始向克拉斯诺格夫卡推进，不仅夺回了乌军先前占领的阵地，还夺回了2014年防线中的阵地。#俄乌局势新进展##普京指责瓦格纳负责人叛国##瓦格纳集团称内战已经正式开始# ​,微博网页版,,,https://wx4.sinaimg.cn/orj360/3c82d175ly1hgmdvcbg56j20tx0gptbs.jpg,https://weibo.com/1015206261/NdeM290d0,8,34,277,红V认证
4931543565075805,2023-08-06 01:04,蜗牛柯基,https://weibo.com/1015206261?refer_flag=1001030103_,"🇷🇺🇺🇦 Suriyak更新俄新社最近拍摄的视频显示，新舍利夫斯克 (49°31'28.2""N 37°56'58.1""E)已被俄罗斯夺回，俄炮兵正在打击剩余的乌克兰士兵。俄军还在最近的进攻中控制了南北郊区。 在过去的几周里，该村处于灰色地带，乌克兰军队反复试图再次在西部建立存在，但不断失败。俄军占领邻近阵地迫使乌克兰军队在最后几个小时内向西撤退到靠近哈尔科夫州边界的阵地。#俄乌局势新进展##普京指责瓦格纳负责人叛国##瓦格纳集团称内战已经正式开始# 收起d",微博网页版,,,https://wx4.sinaimg.cn/orj360/3c82d175ly1hgmd2e3t98j20u40gqwh0.jpg,https://weibo.com/1015206261/NdeAIlirP,6,11,120,红V认证
4931341084268092,2023-08-05 11:39,蜗牛柯基,https://weibo.com/1015206261?refer_flag=1001030103_,🇷🇺🇺🇦 ISW 8 月 4 日报告摘录“乌军对克里米亚和克拉斯诺达尔的港口基础设施进行了一系列空中和海上无人机袭击。俄罗斯称防空和电子战部队击落了多达 13 架无人机。4日发布的地理定位视频显示，乌无人机袭击了费奥多西亚一个油库，但尚不清楚是否损坏了目标。3日和4日发布的地理定位视频显示，俄军在新罗西斯克的海军基地附近向乌无人艇开火，其中一艘击中了俄罗斯登陆舰。4日晚些时候发布的地理定位视频显示，Olenegorsky Gornyak号倾斜，但被拖至新罗西斯克港。”“俄军事博主痛斥国防部在无人艇袭击事件上撒谎，因为最初俄国防部声称拦截了所有无人艇袭击，并呼吁俄军切断乌克兰进入黑海的通道，以防止民用船只释放无人艇攻击海军。”“GUR发言人表示，乌克兰反攻最重要的要素是出其不意和准确性，而不是速度。乌克兰的行动旨在切断俄罗斯的补给路线，摧毁俄罗斯的武器和军事装备储备，并赢得反炮战。”柯基语：等我笑一会“据报道，图拉州州长久明通过会见瓦伊诺（总统办公厅主任）促成了俄罗斯第 106 近卫空降师师长塞利维斯托夫少将的复职。虽然 ISW 无法独立证实这些报道，但如果属实，久明很可能支持塞利维斯托夫，反对绍伊古或格拉西莫夫，或者可能只是支持塞利维斯托夫，因为第 106 师总部位于图拉州。如果消息属实，则表明普京身边的特定成员能够否决和破坏国防部的决定。”“据路透社报道，由于战争成本不断增加，俄罗斯已将2023年国防预算增加了一倍。 最初的2023年国防预算为4.98万亿卢布（540亿美元），俄罗斯最近将2023年国防预算翻了一番，达到9.54万亿卢布（1000亿美元）。#俄乌局势新进展##普京指责瓦格纳负责人叛国##瓦格纳集团称内战已经正式开始# 收起d,微博网页版,,,https://wx1.sinaimg.cn/thumb150/3c82d175ly1hglpt4h0mnj21yu2p3npf.jpg https://wx4.sinaimg.cn/thumb150/3c82d175ly1hglpt4trt8j21yu3fc4qv.jpg https://wx4.sinaimg.cn/thumb150/3c82d175ly1hglpt4qidej21yu3di4qu.jpg,https://weibo.com/1015206261/Nd9k8hUkc,4,14,59,红V认证
