parent_comment_id,comment_id,comment_time,comment_user_name,user_link,comment_content,comment_like_num,child_comment_num,isfan
,4932949100729938,2023-08-09 22:09:38,褚河涛哥哥,https://weibo.com/u/7311572222,"等等明天渔夫的消息，咋感觉这个有点不真实<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",12,8,
4932949100729938.0,4932950233451995,2023-08-09 22:14:08,蜗牛柯基,https://weibo.com/u/1015206261,哈哈，觉得俄军没这么硬？,3,0,
4932949100729938.0,4932966096045978,2023-08-09 23:17:10,鬼谷子兔爷,https://weibo.com/u/5370547595,在那里车臣指挥官上俄罗斯的新闻节目证实这个信息 而 俄罗斯军队宣布 对马林卡发动总攻 正我预计一样 现在俄罗斯军队正在多点突破 让乌克兰精锐疲于奔命,4,0,
4932949100729938.0,4932986770821627,2023-08-10 00:39:19,鬼谷子兔爷,https://weibo.com/u/5370547595,"回复<a href=/n/阳光下的温暖- usercard=""name=@阳光下的温暖-"">@阳光下的温暖-</a>:Readovka信原",0,0,
4932949100729938.0,4932986195411794,2023-08-10 00:37:01,阳光下的温暖-,https://weibo.com/u/5949927939,"回复<a href=/n/鬼谷子兔爷 usercard=""name=@鬼谷子兔爷"">@鬼谷子兔爷</a>:这个信源从哪里看到的？",0,0,
4932949100729938.0,4932965405296156,2023-08-09 23:14:25,鬼谷子兔爷,https://weibo.com/u/5370547595,"回复<a href=/n/蜗牛柯基 usercard=""name=@蜗牛柯基"">@蜗牛柯基</a>:俄罗斯军队宣布 对马林卡发动总攻 正我预计一样 现在俄罗斯军队正在多点突破 让乌克兰精锐疲于奔命了",2,0,
4932949100729938.0,4932959259598156,2023-08-09 22:50:00,一个铁憨憨201207,https://weibo.com/u/7417466321,"回复<a href=/n/蜗牛柯基 usercard=""name=@蜗牛柯基"">@蜗牛柯基</a>:suriyak自己的激进划线风格把大家都搞的不敢信了<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />",0,0,
4932949100729938.0,4932955480267705,2023-08-09 22:34:59,素人观点的二号小弟,https://weibo.com/u/7839071661,"回复<a href=/n/蜗牛柯基 usercard=""name=@蜗牛柯基"">@蜗牛柯基</a>:主要是依据的视频可能是7月份的，而即使不是，也有可能炸的是俄军渗透小组，不准确",0,0,
4932949100729938.0,4932950682763425,2023-08-09 22:15:54,褚河涛哥哥,https://weibo.com/u/7311572222,"回复<a href=/n/蜗牛柯基 usercard=""name=@蜗牛柯基"">@蜗牛柯基</a>:我是觉得他明天就会把这里划给乌，然后乌就又大捷了<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",7,0,
,4932952989639512,2023-08-09 22:25:05,Napoleon-I,https://weibo.com/u/5759153976,伊万尼夫斯克一日不除，东岸即无宁日，还是希望俄军拔除伊万尼夫斯克，进逼恰索夫亚尔。,2,6,
4932952989639512.0,4932965304636862,2023-08-09 23:14:01,鬼谷子兔爷,https://weibo.com/u/5370547595,俄罗斯军队宣布 对马林卡发动总攻 正我预计一样 现在俄罗斯军队正在多点突破 让乌克兰精锐疲于奔命,0,0,
4932952989639512.0,4933069854736874,2023-08-10 06:09:28,柏林大区,https://weibo.com/u/7841048983,"回复<a href=/n/鬼谷子兔爷 usercard=""name=@鬼谷子兔爷"">@鬼谷子兔爷</a>:菲律宾没这个能力",0,0,
4932952989639512.0,4932979408766260,2023-08-10 00:10:04,鬼谷子兔爷,https://weibo.com/u/5370547595,"回复<a href=/n/我是你大帆哥 usercard=""name=@我是你大帆哥"">@我是你大帆哥</a>:最新信息 菲律宾总统正在学乌克兰总统 因为 他不承认 以前菲律宾总统和我国达成的处理仁爱礁问题的协议 所以 第二个战场有可能在南海 考验美国弹药生产能力时候到了",0,0,
4932952989639512.0,4932973449973695,2023-08-09 23:46:23,流稀之父,https://weibo.com/u/6066357853,"回复<a href=/n/鬼谷子兔爷 usercard=""name=@鬼谷子兔爷"">@鬼谷子兔爷</a>:毛子应该就是不断在多地消耗乌军，让乌军不断疲于奔命，持续消耗乌军士气和有生力量，但是我感觉现在还不是俄军反攻的时机，应该再等等，欧洲各国现在集体转右了，德国的右翼人民选择党都快成第二大党了，右翼的共同特点都是反对援乌，反正留个乌的时间不多了，再没啥大战果的话，真可能被抛弃",1,0,
4932952989639512.0,4932969632894537,2023-08-09 23:31:13,鬼谷子兔爷,https://weibo.com/u/5370547595,"回复<a href=/n/Napoleontian usercard=""name=@Napoleontian"">@Napoleontian</a>:现在重点让乌克兰精锐疲于奔命",0,0,
4932952989639512.0,4932968601094657,2023-08-09 23:27:07,Napoleon-I,https://weibo.com/u/5759153976,"回复<a href=/n/鬼谷子兔爷 usercard=""name=@鬼谷子兔爷"">@鬼谷子兔爷</a>:马林卡倒不是很着急，除非俄军想从此处孤立阿瓦迪夫卡进取红军村。目前俄军还没有这个效率。",0,0,
,4932950032913611,2023-08-09 22:13:20,跌跌撞撞爬上岸,https://weibo.com/u/6578300587,"困难重重也没扎波罗热那边困难，这边还是轻松的了算是<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",1,1,
4932950032913611.0,4932952000037829,2023-08-09 22:21:08,-川陀-,https://weibo.com/u/7355665166,还真不一定，那边有修了一年多的防线，这边拿下来的晚,1,0,
,4932997004919887,2023-08-10 01:19:59,周师长的褚军座,https://weibo.com/u/6997996161,突然这么大一片进展？不是很适应,0,0,
,4932960899305207,2023-08-09 22:56:31,见月易影,https://weibo.com/u/7793124340,幸福来的太快，让子弹飞一会,0,0,
,4932959075305066,2023-08-09 22:49:16,老玉米加番茄,https://weibo.com/u/7783457316,不太相信，能动那么多一片？,0,0,
,4932948791395330,2023-08-09 22:08:24,浮士德114,https://weibo.com/u/7503891698,看样子安德里夫卡正面的乌军似乎也得撤了,2,0,
,4932948765448880,2023-08-09 22:08:18,叙利亚战争吧,https://weibo.com/u/7452816370,让我们来看看俄军的表现是否承受的起压力,0,0,
,4932964607333036,2023-08-09 23:11:15,督军上尉,https://weibo.com/u/5284924059,只要想守住，就往里一直填人，这防守比强攻损失小多了。整天这困难那困难的，困难就摇人，两边又不是没人可摇。,0,0,
,4932954072287658,2023-08-09 22:29:23,之夏6050319182,https://weibo.com/u/6050319182,整个水渠过来都没什么支点，估计可能直接退过水渠,0,0,
